ID,Date/Collection,BRD,Ave.temp,Age,PenCode,observed_otus,pielou_e,chao1,faith_pd
Dairy1,8/12/20,Healthy,43.71,0.88,10,1149,0.775857239,1184.212121,62.9094229
Dairy2,7/21/20,Healthy,74,0.82,11,1057,0.782901875,1079.11,54.15834101
Dairy3,7/14/20,BRD,72.71,0.8,10,1099,0.740767525,1181.169118,60.55925115
Dairy4,7/14/20,Healthy,72.71,0.8,10,1271,0.776892967,1319.852071,67.4824118
Dairy5,7/21/20,Healthy,74,0.82,11,1070,0.800394948,1087.220779,56.31441297
Dairy6,7/14/20,Healthy,72.71,0.76,8,1377,0.749993212,1486.45,67.96170337
Dairy7,7/14/20,BRD,72.71,0.76,8,1257,0.737205683,1352.493506,63.02124236
Dairy8,7/14/20,Healthy,72.71,0.76,10,746,0.61147486,772.6304348,45.69395076
Dairy9,7/14/20,Healthy,72.71,0.76,8,1177,0.789753244,1226.384615,59.33018032
Dairy10,7/21/20,Healthy,74,0.78,7,1402,0.794135408,1480.368715,69.32226171
Dairy11,7/21/20,BRD,74,0.78,4,1218,0.805144309,1256.19685,62.5849707
Dairy12,7/21/20,BRD,74,0.78,7,850,0.767220836,858.7875,46.53266738
Dairy13,7/21/20,BRD,74,0.78,7,849,0.820551499,851.7818182,49.12189122
Dairy14,7/14/20,BRD,72.71,0.76,8,1161,0.787004902,1196.921053,63.34395899
Dairy15,7/21/20,BRD,74,0.68,4,1085,0.794315793,1138.552632,60.09068647
Dairy16,9/30/20,BRD,54.88,0.88,4,359,0.590567508,360.2857143,33.52603352
Dairy17,7/14/20,Healthy,72.71,0.71,6,1415,0.806124652,1516.315789,69.84772755
Dairy18,7/14/20,BRD,72.71,0.71,6,299,0.447524691,320.6666667,27.92341645
Dairy19,7/14/20,Healthy,72.71,0.71,6,1306,0.790735404,1354.452381,65.76042881
Dairy20,8/12/20,Healthy,43.71,0.74,10,1425,0.81536786,1471.472868,74.28348098
Dairy22,8/26/20,Healthy,80.29,0.74,6,1480,0.784501496,1595.248649,77.95665565
Dairy23,9/10/20,Healthy,62.08,0.78,8,805,0.635774842,834.5212766,48.76768637
Dairy24,8/19/20,Healthy,66.25,0.8,5,1316,0.818229902,1356.623932,66.69830545
Dairy25,8/19/20,Healthy,66.25,0.8,6,947,0.728136195,948.3,58.27235885
Dairy26,9/10/20,Healthy,62.08,0.78,8,953,0.719047307,967.7029703,55.18499322
Dairy27,8/12/20,BRD,43.71,0.7,6,832,0.66829338,841.5,51.57516541
Dairy28,8/19/20,BRD,66.25,0.8,6,949,0.60694957,1013.909091,59.95878631
Dairy29,8/12/20,BRD,43.71,0.7,6,1086,0.760781051,1124.40367,65.02449439
Dairy30,8/26/20,Healthy,80.29,0.74,6,1420,0.783809677,1493.594937,77.73263004
Dairy31,8/19/20,Healthy,66.25,0.8,5,1251,0.803640471,1293.639098,67.10977609
Dairy32,8/12/20,Healthy,43.71,0.7,5,1206,0.770174461,1267.523438,67.24947354
Dairy33,11/18/20,Healthy,40.08,0.67,5,985,0.529335484,1077.328671,57.09317526
Dairy34,11/18/20,Healthy,40.08,0.585,1,664,0.571052806,664,50.39520808
Dairy35,11/4/20,BRD,60.5,0.55,3,485,0.459529326,495.6097561,37.1245948
Dairy36,11/18/20,Healthy,40.08,0.585,3,996,0.612081889,1039.285714,58.0139515
Dairy37,10/28/20,Healthy,41.11,0.53,3,1057,0.678236172,1117.546875,55.43252087
Dairy38,10/28/20,BRD,41.11,0.53,3,916,0.66152472,960.8790323,46.66499478
Dairy39,11/18/20,Healthy,40.08,0.585,3,1088,0.700370698,1130.992126,55.05473537
Dairy40,10/28/20,Healthy,41.11,0.53,1,1133,0.717685665,1207.389831,60.70410493
Dairy41,11/11/20,Healthy,40,0.57,2,1078,0.729407339,1111.227273,60.28966013
