,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Phylum,Class,Order,Family,Genus,Species,Confidence,OTUs,High_low
ASV12479,14.89798757,2.23420926,0.465756131,4.796950831,1.61E-06,0.000128176,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,1,75ba7fba232bce1e9c7e0ce8917a0ada,BRD
ASV4562,18.94004314,3.508194234,0.390247121,8.989673582,2.48E-19,2.71E-16,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bibersteinia,Bibersteinia,0.8052399,dd99ac981824144dd8531026d036c886,BRD
ASV7320,5.593202629,2.279057201,0.383971136,5.935490943,2.93E-09,8.01E-07,Firmicutes,Clostridia,Clostridiales,Family XI,Helcococcus,Helcococcus ovis,0.9484553,a7c6aa2eb4d0f6f9a55c47bb03955b8c,BRD
ASV12291,2.399260359,2.043954838,0.311660281,6.558278232,5.44E-11,1.83E-08,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella (1),0.9995512,97edebc1ee10d98264705f132f32d864,BRD
ASV448,1028.264153,2.110352302,0.681854354,3.095019175,0.001968002,0.028678199,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella (2),0.9782304,d6e86aaadfff0f8c72771dd0ba426c14,BRD
ASV13380,3.741736263,2.862683953,0.369494954,7.747558999,9.37E-15,5.86E-12,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella boevrei DSM 14165 (1),0.9582215,c261ff3d2d7c2b707b8afc7e7ee91033,BRD
ASV11491,5.675675768,3.209226726,0.345008109,9.301887821,1.38E-20,2.01E-17,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxellaceae,Moraxellaceae (1),0.9999934,4b7f9c08b81c43388fad434652cd8a77,BRD
ASV5513,244.5777295,2.335169493,0.56315139,4.146610549,3.37E-05,0.00157086,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma (1),1,868322022c4cccd07ce0b1881b1c18f1,BRD
ASV222,3.598208292,2.772445992,0.366670895,7.561129149,4.00E-14,1.75E-11,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma (2),1,bf937f8016cb7cef96f6a64e46adc480,BRD
ASV13125,110.4290468,6.163599919,0.47899195,12.86785701,6.83E-38,2.99E-34,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma alkalescens 14918,0.9660772,dca9719bdbc258836fe8eb571d158e67,BRD
ASV503,28.72038812,3.975757012,0.462388033,8.598312941,8.09E-18,7.08E-15,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma arginini,0.9000709,f9dc63775ddecb3ddd2778a5884cb81b,BRD
ASV13392,17.67694362,2.852891803,0.392100659,7.275916876,3.44E-13,1.37E-10,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,0.9999915,90c8bdb5287486c00cdbf1a6bdce20e1,BRD
ASV16776,11.43389721,2.460764363,0.419693817,5.863237117,4.54E-09,1.05E-06,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,0.9938058,51cecebf2a721b15e206ebf8bf9916ef,BRD
ASV11342,4.153937614,2.551865118,0.335225896,7.612374671,2.69E-14,1.31E-11,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Bergeyella,uncultured Bergeyella,0.9809282,e2704c83ba9d4a85c0206ea062ef342e,BRD
