ID,BRD,Date/Collection,Ave.temp,Temp,Age,PenCode,MbPre_Abs,Mbovis_copies,PmPres_Abs,Pm_copies,HsPres_Abs,Hs_copies,MhPres_Abs,Mh_copies,16SPres_Abs,16S_copies
Dairy1,Healthy,8/12/20,43.71,103.2,0.88,10,1,1106.31,1,310604.68,1,108.1420289,0,0,1,45153064.43
Dairy2,Healthy,7/21/20,74,104.4,0.82,11,0,0,1,113888.46,1,255.4062087,0,0,1,668341682.7
Dairy3,BRD,7/14/20,72.71,104.3,0.8,10,1,6105907.46,1,251245.6,1,147.0312221,0,0,1,202410627.7
Dairy4,Healthy,7/14/20,72.71,103.7,0.8,10,1,28549.75,1,1591172.1,1,189.0078584,1,12929.86,1,163881590.3
Dairy5,Healthy,7/21/20,74,104.7,0.82,11,0,0,1,7101.22,1,317.0590606,1,100951.23,1,41998340.46
Dairy6,Healthy,7/14/20,72.71,102.7,0.76,8,0,0,1,725409.23,1,261.160493,1,4834.68,1,88366077.78
Dairy7,BRD,7/14/20,72.71,105.6,0.76,8,0,0,1,92502.45,1,244.4276674,1,160929.14,1,70169743.03
Dairy8,Healthy,7/14/20,72.71,104,0.76,10,0,0,1,79981.69,1,232.0078674,0,0,1,11018365.34
Dairy9,Healthy,7/14/20,72.71,102.9,0.76,8,0,0,1,46653.03,1,341.9739957,0,0,1,48767980.76
Dairy10,Healthy,7/21/20,74,103.3,0.78,7,0,0,1,816468.11,1,213.450464,1,2961.57,1,119818020.6
Dairy11,BRD,7/21/20,74,,0.78,4,0,0,1,983647.84,1,333.4574696,1,376294.89,1,155020255.1
Dairy12,BRD,7/21/20,74,102.7,0.78,7,1,6678.6,1,1993959.47,1,277.887159,1,62871.23,1,359188848.9
Dairy13,BRD,7/21/20,74,102.9,0.78,7,1,6366.21,1,815854.45,1,176.35886,1,11002.97,1,189548545.8
Dairy14,BRD,7/14/20,72.71,103.8,0.76,8,1,299367.64,1,792174.41,1,187.3023587,1,7448.94,1,75385854.09
Dairy15,BRD,7/21/20,74,103.3,0.68,4,1,3652.82,1,87524.75,1,245.08732,1,1431.95,1,447870848.6
Dairy16,BRD,9/30/20,54.88,104.6,0.88,4,1,3941679.19,1,602590.28,1,141.442733,0,0,1,1110199616
Dairy17,Healthy,7/14/20,72.71,103,0.71,6,1,1315.87,1,750004,1,178.6052675,1,550.77,1,102316074.7
Dairy18,BRD,7/14/20,72.71,105.2,0.71,6,0,0,1,52409.96,1,176.2916108,1,231007.93,1,78216426.98
Dairy19,Healthy,7/14/20,72.71,102.5,0.71,6,1,101241.91,1,1360039.03,1,209.0481689,1,2039.36,1,87331449.75
Dairy20,Healthy,8/12/20,43.71,102.7,0.74,10,0,0,1,77228.39,1,251.2119291,1,1591.23,1,22145527.93
Dairy21,Healthy,12/2/20,33.04,103.7,1.05,10,0,0,0,0,1,320.7089427,0,0,1,17970497.91
Dairy22,Healthy,8/26/20,80.29,105,0.74,6,0,0,1,3333.53,1,305.8184,1,2073.2,1,92275946.27
Dairy23,Healthy,9/10/20,62.08,102.9,0.78,8,0,0,1,5561.9,1,318.2678448,1,6651.76,1,241560169.6
Dairy24,Healthy,8/19/20,66.25,,0.8,5,0,0,1,1392.93,1,161.9449867,0,0,1,75353998.72
Dairy25,Healthy,8/19/20,66.25,,0.8,6,0,0,1,245682.52,1,125.8663414,1,19066.53,1,6332889.16
Dairy26,Healthy,9/10/20,62.08,104,0.78,8,1,5732.59,1,214919.31,1,265.9864702,1,6632.96,1,110713882.1
Dairy27,BRD,8/12/20,43.71,102.4,0.7,6,0,0,1,177464.35,1,156.5632711,1,11750.13,1,237008221.2
Dairy28,BRD,8/19/20,66.25,104.4,0.8,6,1,3623.36,1,474429.89,1,208.8324173,1,102812.58,1,356912279.6
Dairy29,BRD,8/12/20,43.71,104.8,0.7,6,1,6994.08,1,292161.75,1,204.480616,1,272368.13,1,382729160.2
Dairy30,Healthy,8/26/20,80.29,105.1,0.74,6,0,0,0,0,1,333.4061563,0,0,1,56382533.03
Dairy31,Healthy,8/19/20,66.25,103.3,0.8,5,0,0,1,2896543.39,1,250.8108253,1,32348.31,1,344104019.4
Dairy32,Healthy,8/12/20,43.71,103.4,0.7,5,1,7658.24,1,263858.61,1,302.4411893,1,503.75,1,261069571.4
Dairy33,Healthy,11/18/20,40.08,103.7,0.67,5,0,0,1,28939.4,1,338.049168,0,0,1,164343930.8
Dairy34,Healthy,11/18/20,40.08,102.5,0.585,1,1,4930352.03,1,2879987.46,1,176.3876151,0,0,1,57314414.89
Dairy35,BRD,11/4/20,60.5,104.1,0.55,3,0,0,1,3123.21,0,0,1,982367.78,1,7477736.75
Dairy36,Healthy,11/18/20,40.08,103.6,0.585,3,1,87150.88,1,1885180.05,1,288.5955109,1,36515.47,1,223685399.7
Dairy37,Healthy,10/28/20,41.11,103.6,0.53,3,1,799194.13,1,395366.12,1,200.4335044,1,948253.98,1,71207305.46
Dairy38,BRD,10/28/20,41.11,107.4,0.53,3,1,3188843.05,1,63695.98,1,158.9499575,1,59631.72,1,35873400.24
Dairy39,Healthy,11/18/20,40.08,103.3,0.585,3,0,0,1,515950.74,1,333.2153001,1,17992.23,1,8940077.77
Dairy40,Healthy,10/28/20,41.11,102.5,0.53,1,1,36230.61,1,407244.68,1,347.0567097,0,0,1,40663944.05
Dairy41,Healthy,11/11/20,40,102.9,0.57,2,1,9310.9,1,529217.08,1,228.4534695,1,129305.26,1,15453924.63
Dairy42,BRD,10/28/20,41.11,104.9,0.53,1,1,93188.48,1,236501.93,1,373.0098196,1,258883.5,1,20785446.07
Dairy43,Healthy,11/18/20,40.08,102.4,0.585,1,1,577954.49,1,1625148.34,1,258.0048908,0,0,1,17955854.51
Dairy44,Healthy,11/4/20,60.5,102.7,0.55,3,1,21495.23,1,289700.05,1,307.8959102,1,7497.51,1,40784085.92
Dairy45,Healthy,10/28/20,41.11,103.4,0.53,3,0,0,0,0,1,409.2604475,0,0,1,31104071.4
Dairy46,BRD,11/4/20,60.5,105.6,0.55,3,1,97864.55,1,380328.76,1,326.6088665,1,990212.77,1,34582234.2
Dairy47,Healthy,10/28/20,41.11,,0.45,0,0,0,1,617587.23,1,235.7556897,0,0,1,1140970636
Dairy48,BRD,10/28/20,41.11,106.2,0.45,0,1,781162.31,1,1273257.07,1,157.1463418,1,35612.49,1,61842992.77
Dairy49,BRD,10/28/20,41.11,106,0.45,0,1,24514.02,1,1147866.49,1,183.5966285,1,89772.79,1,248682454.3
Dairy50,BRD,11/4/20,60.5,104.6,0.47,0,1,888308.93,1,885992.77,1,168.1366705,1,14286.86,1,38747282.32
Dairy51,Healthy,11/4/20,60.5,102.2,0.47,0,0,0,1,1345000.67,1,173.0242091,1,18302.54,1,48828715.51
Dairy52,Healthy,11/4/20,60.5,103.4,0.47,0,0,0,1,185780.8,1,255.9295059,0,0,1,13915064.83
Dairy53,BRD,11/4/20,60.5,104.1,0.47,0,1,2990097.94,1,1776806.05,1,134.2567694,1,607122.45,1,4.63E+12
Dairy54,BRD,12/2/20,33.04,103,0.54,1,1,5324624.83,1,1214918.84,1,147.8658437,1,25545.12,1,608892924.7
Dairy55,Healthy,12/2/20,33.04,102.9,0.54,1,1,6516.94,1,2262348.01,1,162.460306,1,3869.45,1,21003857.39
Dairy56,Healthy,12/2/20,33.04,103.5,0.54,1,0,0,1,2594.94,1,197.7743238,0,0,1,106927258
Dairy57,Healthy,10/28/20,41.11,103.3,0.525,3,0,0,1,557076.34,0,0,0,0,1,17757361.45
Dairy58,BRD,11/18/20,40.08,105.2,0.58,1,1,484723.86,1,10741058.82,1,334.0585048,0,0,1,7.24E+11
Dairy59,Healthy,11/18/20,40.08,102.5,0.58,3,1,16676.97,1,768791.96,1,225.8077328,1,34902.26,1,56280968.14
Dairy60,BRD,11/11/20,40,106.5,0.56,4,1,66752.19,1,19996.54,1,202.1135915,1,12856.17,1,2929162.17
Dairy61,Healthy,11/11/20,40,106.6,0.56,2,1,8996.85,1,1104030.7,1,198.9626287,1,328076.65,1,188202144.7
Dairy62,Healthy,7/21/20,74,103.3,1.45,0,1,942491.32,1,2970771.4,1,245.3089065,1,1360.88,1,1390636864
Dairy63,Healthy,7/21/20,74,102.3,1.45,0,0,0,1,2843.33,1,255.1921139,0,0,1,303921189.9
Dairy64,Healthy,8/12/20,43.71,103.1,0.7,5,0,0,1,684962.89,1,330.5692253,1,7870.03,1,367019824.6
Dairy65,BRD,8/12/20,43.71,106.3,0.7,5,0,0,1,1988.9,1,145.5854977,1,236277.83,1,455582882.2
Dairy66,Healthy,8/26/20,80.29,103.4,0.74,2,1,248588.19,1,1118586.26,1,198.7608178,1,29664.32,1,258866838.4
Dairy67,BRD,8/26/20,80.29,104.2,0.74,6,1,1051721.4,1,74442.89,1,162.768203,1,11910.04,1,91600579.32
Dairy68,BRD,7/14/20,72.71,104.6,0.62,3,1,1593.56,1,100551.57,1,246.5729598,1,138342.99,1,296862708.7
