ID,Cattle ID,BRD,Date/Collection,Ave.temp,Temp,Age,PenCode,MbPre_Abs,Mbovis_copies,Mbovis_RelAbunBacteria,PmPres_Abs,Pm_copies,Pm_RelAbunBacteria,HsPres_Abs,Hs_copies,Hs_RelAbunBacteria,MhPres_Abs,Mh_copies,Mh_RelAbunBacteria,16SPres_Abs,16S_copies,4bacteriaAbundance
Dairy1,Black 151,Healthy,8/12/20,43.71,103.2,0.88,10,1,1106.31,0.003547922,1,310604.68,0.996105268,1,108.1420289,0.00034681,0,0,0,1,45153064.43,311819.132
Dairy2,Black 17,Healthy,7/21/20,74,104.4,0.82,11,0,0,0,1,113888.46,0.997762418,1,255.4062087,0.002237582,0,0,0,1,668341682.7,114143.8662
Dairy3,Black 192,BRD,7/14/20,72.71,104.3,0.8,10,1,6105907.46,0.96045607,1,251245.6,0.039520802,1,147.0312221,2.31E-05,0,0,0,1,202410627.7,6357300.091
Dairy4,Black 220,Healthy,7/14/20,72.71,103.7,0.8,10,1,28549.75,0.017624272,1,1591172.1,0.98225905,1,189.0078584,0.000116678,1,12929.86,0.007981834,1,163881590.3,1619910.858
Dairy5,Black 25,Healthy,7/21/20,74,104.7,0.82,11,0,0,0,1,7101.22,0.957259445,1,317.0590606,0.042740231,1,100951.23,13.60843889,1,41998340.46,7418.281465
Dairy6,Black 337,Healthy,7/14/20,72.71,102.7,0.76,8,0,0,0,1,725409.23,0.999640111,1,261.160493,0.000359889,1,4834.68,0.006662364,1,88366077.78,725670.3905
Dairy7,Black 340,BRD,7/14/20,72.71,105.6,0.76,8,0,0,0,1,92502.45,0.997364548,1,244.4276674,0.002635427,1,160929.14,1.735143436,1,70169743.03,92746.87996
Dairy8,Black 350,Healthy,7/14/20,72.71,104,0.76,10,0,0,0,1,79981.69,0.997107628,1,232.0078674,0.002892372,0,0,0,1,11018365.34,80213.69787
Dairy9,Black 377,Healthy,7/14/20,72.71,102.9,0.76,8,0,0,0,1,46653.03,0.992723184,1,341.9739957,0.007276816,0,0,0,1,48767980.76,46995.004
Dairy10,Black 387,Healthy,7/21/20,74,103.3,0.78,7,0,0,0,1,816468.11,0.999738637,1,213.450464,0.000261363,1,2961.57,0.003626346,1,119818020.6,816681.5605
Dairy11,Black 388,BRD,7/21/20,74,,0.78,4,0,0,0,1,983647.84,0.999661112,1,333.4574696,0.000338886,1,376294.89,0.382420774,1,155020255.1,983981.2999
Dairy12,Black 454,BRD,7/21/20,74,102.7,0.78,7,1,6678.6,0.003337771,1,1993959.47,0.996523349,1,277.887159,0.00013888,1,62871.23,0.031421225,1,359188848.9,2000915.957
Dairy13,Black 458,BRD,7/21/20,74,102.9,0.78,7,1,6366.21,0.007741042,1,815854.45,0.992044513,1,176.35886,0.000214445,1,11002.97,0.013379146,1,189548545.8,822397.0189
Dairy14,Black 492,BRD,7/14/20,72.71,103.8,0.76,8,1,299367.64,0.274214153,1,792174.41,0.725614282,1,187.3023587,0.000171565,1,7448.94,0.006823065,1,75385854.09,1091729.352
Dairy15,Black 566,BRD,7/21/20,74,103.3,0.68,4,1,3652.82,0.039955303,1,87524.75,0.957363881,1,245.08732,0.002680816,1,1431.95,0.015662966,1,447870848.6,91422.65732
Dairy16,Black 603,BRD,9/30/20,54.88,104.6,0.88,4,1,3941679.19,0.867368569,1,602590.28,0.132600307,1,141.442733,3.11E-05,0,0,0,1,1110199616,4544410.913
Dairy17,Black 659,Healthy,7/14/20,72.71,103,0.71,6,1,1315.87,0.001750995,1,750004,0.99801134,1,178.6052675,0.000237666,1,550.77,0.000732896,1,102316074.7,751498.4753
