Phylum	Class	Order	Family	Genus	Species	Confidence	OTUs		Query id									
D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Listeriaceae	D_5__Brochothrix	D_6__Brochothrix thermosphacta	0.7087645	00f7793b9e96c3365f6a3a097c56805d		00f7793b9e96c3365f6a3a097c56805d	t'	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_3__Chloroplast	D_3__Chloroplast	D_3__Chloroplast	1	0a3cf58d4ca062c13d42c9db4ebcbc53
D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Beijerinckiaceae	D_5__Methylobacterium	D_5__Methylobacterium	0.999972	058465ad76f72c3f4f7f94bd23bd222a		058465ad76f72c3f4f7f94bd23bd222a	t'	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Ruminococcaceae	D_4__Ruminococcaceae	D_4__Ruminococcaceae	0.9999978	49a2ea7eebe52a4aed8f3126b7f72570
D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Prevotellaceae	D_5__Prevotella 1	D_6__uncultured bacterium	0.9979067	082d9e16726a898b27e68eb4c0eff543		082d9e16726a898b27e68eb4c0eff543	t'	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Ruminococcaceae	D_5__Faecalibacterium	D_6__uncultured bacterium	0.9970271	84c75cc144f3d37dcff5fe88a7bb34c4
D_1__Firmicutes	D_2__Bacilli	D_3__Lactobacillales	D_4__Lactobacillaceae	D_5__Lactobacillus	D_5__Lactobacillus	1	0df6c802966e8670279671824da4f10a		0df6c802966e8670279671824da4f10a	t'	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Xanthomonadales	D_4__Xanthomonadaceae	D_5__Lysobacter	D_6__Lysobacter enzymogenes	0.7977057	e7adc52caa90733168503d303c52e402
D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Staphylococcaceae	D_5__Staphylococcus	D_5__Staphylococcus	0.9999971	1d19b18db48daa1837d18d3171334ded		1d19b18db48daa1837d18d3171334ded	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Ruminococcaceae	D_4__Ruminococcaceae	D_4__Ruminococcaceae	1	214e289ded7a24b2de639b0ee3212d7d		214e289ded7a24b2de639b0ee3212d7d	t'								
D_1__Deinococcus-Thermus	D_2__Deinococci	D_3__Deinococcales	D_4__Deinococcaceae	D_5__Deinococcus	D_6__Deinococcus radiodurans R1	0.9970118	2385fe1c2dd5a3f83237272a6644088b		2385fe1c2dd5a3f83237272a6644088b	t'								
D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Bacteroidaceae	D_5__Bacteroides	D_6__Bacteroides fragilis	0.9364932	2c982937754e6321f861027032db80f7		2c982937754e6321f861027032db80f7	t'								
D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Sphingomonas	D_5__Sphingomonas	0.9918112	3d6da4853055ccfc80db03cefee88f5a		3d6da4853055ccfc80db03cefee88f5a	t'								
D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Neisseriaceae	D_5__Neisseria	D_5__Neisseria	0.9998832	3f22e68d57de45bda50bf6fcc59cf765		3f22e68d57de45bda50bf6fcc59cf765	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae 1	D_5__Clostridium sensu stricto 1	D_5__Clostridium sensu stricto 1	0.9998863	40874d61006874f7c87d904707d320d9		40874d61006874f7c87d904707d320d9	t'								
D_1__Firmicutes	D_2__Negativicutes	D_3__Selenomonadales	D_4__Veillonellaceae	D_5__Megasphaera	D_6__Megasphaera elsdenii	0.7649423	44158349d8858abc6c04aada0c131da5		44158349d8858abc6c04aada0c131da5	t'								
D_1__Actinobacteria	D_2__Actinobacteria	D_3__Propionibacteriales	D_4__Propionibacteriaceae	D_5__Cutibacterium	D_5__Cutibacterium	0.9986985	45cba136a3e6db3b88de76e90e463136		45cba136a3e6db3b88de76e90e463136	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Ruminococcaceae	D_5__Ruminiclostridium	D_6__uncultured bacterium	0.9303283	4c2396ab8eabb16c11d85f99ff4270f1		4c2396ab8eabb16c11d85f99ff4270f1	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae 1	D_5__Clostridium sensu stricto 1	D_5__Clostridium sensu stricto 1	0.999947	4e8d7a4662640b90817f015280cf5713		4e8d7a4662640b90817f015280cf5713	t'								
D_1__Actinobacteria	D_2__Actinobacteria	D_3__Bifidobacteriales	D_4__Bifidobacteriaceae	D_5__Bifidobacterium	D_5__Bifidobacterium	1	5a6c87d6a4eb5e114959f6192f29b641		5a6c87d6a4eb5e114959f6192f29b641	t'								
D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Lachnospiraceae	D_5__Lachnospiraceae NK4A136 group	D_5__Lachnospiraceae NK4A136 group	0.7656581	6076f1546db303765be3f4836c061794		6076f1546db303765be3f4836c061794	t'								
D_1__Firmicutes	D_2__Bacilli	D_3__Bacillales	D_4__Staphylococcaceae	D_5__Staphylococcus	D_5__Staphylococcus	0.9999986	65d43491988bfe557da4d86a5ba25dae		65d43491988bfe557da4d86a5ba25dae	t'								
D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Bacteroidales	D_4__Bacteroidaceae	D_5__Bacteroides	D_5__Bacteroides	1	8001826dafd338cf078dd28c2eae05ed		8001826dafd338cf078dd28c2eae05ed	t'								
D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Neisseriaceae	D_5__Neisseria	D_6__Neisseria meningitidis	0.9466586	8224351b2abd16dd4d58c3015ff5e795		8224351b2abd16dd4d58c3015ff5e795	t'								
