ID	arrival 	BRD	Date_Collection	Age	Month	 PenCode
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
Dairy1	1_6_2020	Healthy	8_12_2020	0.88	August	10
Dairy2	1_6_2020	Healthy	7_21_2020	0.82	July	11
Dairy3	1_6_2020	BRD	7_14_2020	0.8	July	10
Dairy4	1_6_2020	Healthy	7_14_2020	0.8	July	10
Dairy5	1_6_2020	Healthy	7_21_2020	0.82	July	11
Dairy6	1_22_2020	Healthy	7_14_2020	0.76	July	8
Dairy7	1_22_2020	BRD	7_14_2020	0.76	July	8
Dairy8	1_22_2020	Healthy	7_14_2020	0.76	July	10
Dairy9	1_22_2020	Healthy	7_14_2020	0.76	July	8
Dairy10	1_22_2020	Healthy	7_21_2020	0.78	July	7
Dairy11	1_22_2020	BRD	7_21_2020	0.78	July	4
Dairy12	1_22_2020	BRD	7_21_2020	0.78	July	7
Dairy13	1_22_2020	BRD	7_21_2020	0.78	July	7
Dairy14	1_22_2020	BRD	7_14_2020	0.76	July	8
Dairy15	2_25_2020	BRD	7_21_2020	0.68	July	4
Dairy16	2_25_2020	BRD	9_30_2020	0.88	September	4
Dairy17	2_25_2020	Healthy	7_14_2020	0.71	July	6
Dairy18	2_25_2020	BRD	7_14_2020	0.71	July	6
Dairy19	2_25_2020	Healthy	7_14_2020	0.71	July	6
Dairy20	2_25_2020	Healthy	8_12_2020	0.74	August	10
Dairy21	2_25_2020	Healthy	12_2_2020	1.05	December	10
Dairy22	3_12_2020	Healthy	8_26_2020	0.74	August	6
Dairy23	3_12_2020	Healthy	9_10_2020	0.78	September	8
Dairy24	3_12_2020	Healthy	8_19_2020	0.8	August	5
Dairy25	3_12_2020	Healthy	8_19_2020	0.8	August	6
Dairy26	3_12_2020	Healthy	9_10_2020	0.78	September	8
Dairy27	3_12_2020	BRD	8_12_2020	0.7	August	6
Dairy28	3_12_2020	BRD	8_19_2020	0.8	August	6
Dairy29	3_12_2020	BRD	8_12_2020	0.7	August	6
Dairy30	3_12_2020	Healthy	8_26_2020	0.74	August	6
Dairy31	3_12_2020	Healthy	8_19_2020	0.8	August	5
Dairy32	3_12_2020	Healthy	8_12_2020	0.7	August	5
Dairy33	6_29_2020	Healthy	11_18_2020	0.67	November	5
Dairy34	7_30_2020	Healthy	11_18_2020	0.585	November	1
Dairy35	7_30_2020	BRD	11_4_2020	0.55	November	3
Dairy36	7_30_2020	Healthy	11_18_2020	0.585	November	3
Dairy37	7_30_2020	Healthy	10_28_2020	0.53	October	3
Dairy38	7_30_2020	BRD	10_28_2020	0.53	October	3
Dairy39	7_30_2020	Healthy	11_18_2020	0.585	November	3
Dairy40	7_30_2020	Healthy	10_28_2020	0.53	October	1
Dairy41	7_30_2020	Healthy	11_11_2020	0.57	November	2
Dairy42	7_30_2020	BRD	10_28_2020	0.53	October	1
Dairy43	7_30_2020	Healthy	11_18_2020	0.585	November	1
Dairy44	7_30_2020	Healthy	11_4_2020	0.55	November	3
Dairy45	7_30_2020	Healthy	10_28_2020	0.53	October	3
Dairy46	7_30_2020	BRD	11_4_2020	0.55	November	3
Dairy47	8_28_2020	Healthy	10_28_2020	0.45	October	0
Dairy48	8_28_2020	BRD	10_28_2020	0.45	October	0
Dairy49	8_28_2020	BRD	10_28_2020	0.45	October	0
Dairy50	8_28_2020	BRD	11_4_2020	0.47	November	0
Dairy51	8_28_2020	Healthy	11_4_2020	0.47	November	0
Dairy52	8_28_2020	Healthy	11_4_2020	0.47	November	0
Dairy53	8_28_2020	BRD	11_4_2020	0.47	November	0
Dairy54	8_28_2020	BRD	12_2_2020	0.54	December	1
Dairy55	8_28_2020	Healthy	12_2_2020	0.54	December	1
Dairy56	8_28_2020	Healthy	12_2_2020	0.54	December	1
Dairy57	7_30_2020	Healthy	10_28_2020	0.525	October	3
Dairy58	7_30_2020	BRD	11_18_2020	0.58	November	1
Dairy59	7_30_2020	Healthy	11_18_2020	0.58	November	3
Dairy60	7_30_2020	BRD	11_11_2020	0.56	November	4
Dairy61	7_30_2020	Healthy	11_11_2020	0.56	November	2
Dairy62	5_20_2019	Healthy	7_21_2020	1.45	July	0
Dairy63	5_20_2019	Healthy	7_21_2020	1.45	July	0
Dairy64	3_12_2020	Healthy	8_12_2020	0.7	August	5
Dairy65	3_12_2020	BRD	8_12_2020	0.7	August	5
Dairy66	3_12_2020	Healthy	8_26_2020	0.74	August	2
Dairy67	3_12_2020	BRD	8_26_2020	0.74	August	6
Dairy68	3_12_2020	BRD	7_14_2020	0.62	July	3
Dairy69	4_9_2020	BRD	9_30_2020	0.755	September	6
Dairy70	4_27_2020	Healthy	8_26_2020	0.61	August	3
Dairy71	4_27_2020	Healthy	9_30_2020	0.71	September	4
Dairy72	4_27_2020	BRD	8_26_2020	0.61	August	3
Dairy73	4_27_2020	Healthy	9_30_2020	0.71	September	6
Dairy74	4_27_2020	BRD	9_10_2020	0.65	September	4
Dairy75	4_27_2020	Healthy	8_26_2020	0.61	August	1
Dairy76	3_12_2020	Healthy	7_14_2020	0.62	July	3
Dairy77	4_27_2020	BRD	8_26_2020	0.61	August	2
Dairy78	4_27_2020	BRD	8_26_2020	0.61	August	3
Dairy79	4_27_2020	BRD	9_10_2020	0.65	September	4
Dairy80	4_27_2020	Healthy	9_10_2020	0.65	September	4
Dairy81	4_27_2020	Healthy	9_30_2020	0.71	September	6
Dairy82	4_27_2020	Healthy	8_26_2020	0.61	August	1
Dairy83	3_12_2020	Healthy	7_14_2020	0.62	July	3
Dairy84	4_27_2020	Healthy	8_26_2020	0.61	August	3
Dairy85	4_27_2020	BRD	8_26_2020	0.61	August	1
